OBJECTID,FIRE_ID,FIRE_NAME,lat,lon,ignition_date,acres_burned,fire type,precip_7d_prior (mm),temp_max_7d_prior (°C),rh_min_7d_prior (%),soil_moisture_7d_prior_avg (m³/m³),temp_ign_1400 (°C),rh_ign_1400 (%),soil_moisture_ign_1400 (m³/m³),wind_speed_ign_1400 (km/h),wind_direction_ign_1400 (°),wind_gust_ign_1400 (km/h),precip_ign_day (mm),precip_30d_post (mm),temp_max_30d_post (°C),wind_speed_max_30d_post (km/h),wind_gust_max_30d_post (km/h),rh_min_30d_post (%),ndvi,land_cover,elevation_m,slope_deg,aspect_deg,aspect_sin,aspect_cos
4779600.0,CA3415911784320140116,COLBY,34.16,-117.875,2014-01-16,2022.0,Wildfire,0.0,25.6,7.0,0.1275,25.5,5.0,0.125,12.7,43.0,39.2,0.0,9.0,28.1,13.9,52.2,5.0,0.35600000000000004,10.0,562.0,25.0,180.0,1.2246467991473532e-16,-1.0
4779652.0,MO3745009111920140130,DAVIS,37.458,-91.115,2014-01-30,656.0,Wildfire,0.0,14.0,13.0,0.4496488095238095,4.1,26.0,0.447,25.7,195.0,65.9,0.0,33.3,20.0,34.6,82.8,18.0,0.40155,4.0,361.0,5.0,229.0,-0.754709580222772,-0.6560590289905073
4779176.0,AR3462009322020140202,FROST BITE,34.625,-93.217,2014-02-02,1652.0,Wildfire,10.0,16.2,21.0,0.418922619047619,-0.1,100.0,0.458,15.3,30.0,32.8,26.3,81.6,22.0,30.2,66.6,26.0,0.5075500000000001,4.0,246.0,4.0,6.0,0.10452846326765347,0.9945218953682733
4779161.0,MS3109008910020140213,DOUBLE BUNKER,31.096,-89.109,2014-02-13,1144.0,Wildfire,36.7,17.4,50.0,0.4646845238095238,11.7,54.0,0.443,6.4,313.0,23.8,0.0,138.5,24.4,26.4,65.9,26.0,0.39685000000000004,8.0,75.0,2.0,86.0,0.9975640502598242,0.06975647374412523
4779578.0,OK3665009603020140220,MUSTANG,36.629,-96.01,2014-02-20,1284.0,Wildfire,2.6,20.7,29.0,0.3189821428571428,8.3,51.0,0.305,30.7,320.0,67.3,0.0,65.5,25.2,37.5,72.4,18.0,0.22555,10.0,250.0,6.0,62.0,0.8829475928589269,0.46947156278589086
4779292.0,OK3636009626020140227,FOX,36.362,-96.268,2014-02-27,1178.0,Wildfire,3.3,17.8,18.0,0.2890357142857143,6.7,33.0,0.266,8.9,122.0,25.6,0.0,87.1,25.7,41.5,78.1,19.0,0.3171,9.0,258.0,2.0,188.0,-0.13917310096006552,-0.9902680687415703
4779173.0,TX3231010029020140306,173,32.304,-100.261,2014-03-06,1118.0,Wildfire,4.3,28.7,10.0,0.1609642857142857,14.1,33.0,0.163,2.7,203.0,16.6,0.0,11.5,32.1,46.1,79.2,6.0,0.28695000000000004,10.0,747.0,1.0,61.0,0.8746197071393957,0.4848096202463371
4779160.0,MS3113008908020140313,TOMS CAMP BRANCH,31.12,-89.102,2014-03-13,3420.0,Wildfire,25.1,24.3,47.0,0.4728035714285714,15.8,37.0,0.462,9.4,7.0,30.6,0.0,157.3,25.5,23.9,58.0,30.0,0.49050000000000005,8.0,79.0,1.0,131.0,0.7547095802227721,-0.6560590289905072
4779262.0,OK3619009673020140313,QUAY,36.2,-96.735,2014-03-13,1180.0,Wildfire,7.9,25.9,21.0,0.3070119047619047,18.3,19.0,0.254,18.2,214.0,40.3,0.0,61.0,30.1,38.6,79.9,13.0,0.316,10.0,316.0,2.0,163.0,0.2923717047227366,-0.9563047559630355
4779156.0,AL3456308766220140314,HIGHWAY 77,34.561,-87.669,2014-03-14,518.0,Wildfire,0.5,22.1,41.0,0.4465654761904761,16.9,39.0,0.423,19.3,207.0,48.2,0.2,137.5,24.5,27.8,69.5,30.0,0.42285,8.0,227.0,6.0,104.0,0.9702957262759965,-0.24192189559966779
4779301.0,OK3679009601020140319,MCKINLEY,36.808,-96.008,2014-03-19,2294.0,Wildfire,41.4,20.6,20.0,0.3506428571428571,11.8,40.0,0.356,11.2,310.0,29.9,0.0,30.0,28.6,41.3,88.2,18.0,0.2793,10.0,262.0,4.0,21.0,0.35836794954530027,0.9335804264972017
4779178.0,TX3608010012020140320,HIGGINS,35.991,-100.023,2014-03-20,28466.0,Wildfire,1.7,19.9,11.0,0.1594821428571428,20.9,15.0,0.151,23.2,222.0,46.4,0.0,12.6,33.5,43.6,75.6,6.0,0.2354,10.0,761.0,1.0,51.0,0.7771459614569709,0.6293203910498375
4779181.0,OK3503009619020140320,MOUNTAIN BEAR,35.044,-96.207,2014-03-20,1011.0,Wildfire,33.0,24.0,24.0,0.3613333333333333,17.9,27.0,0.348,14.8,194.0,34.6,0.0,77.9,28.7,37.9,84.2,24.0,0.34850000000000003,9.0,275.0,2.0,102.0,0.9781476007338057,-0.20791169081775934
4779281.0,KS3949009662020140320,SHANNON CREEK,39.525,-96.592,2014-03-20,3954.0,Wildfire,1.3,21.6,21.0,0.2779880952380952,17.7,28.0,0.257,23.3,235.0,49.3,0.0,31.1,30.1,44.7,83.2,20.0,0.27575,10.0,370.0,3.0,80.0,0.984807753012208,0.17364817766693041
4779283.0,KS3901009668020140320,MOYER RANCH,39.027,-96.66,2014-03-20,6641.0,Wildfire,1.7,21.5,21.0,0.246625,18.0,27.0,0.218,25.1,235.0,53.3,0.0,25.2,30.5,42.6,86.4,17.0,0.24130000000000001,10.0,414.0,2.0,235.0,-0.8191520442889916,-0.5735764363510464
4779626.0,AR3597409294920140324,SEED TICK,35.947,-92.948,2014-03-24,1991.0,Wildfire,6.2,19.4,26.0,0.4580178571428571,10.5,40.0,0.451,3.3,139.0,22.7,1.0,118.7,24.1,30.2,71.3,30.0,0.53005,4.0,368.0,3.0,262.0,-0.9902680687415703,-0.13917310096006583
4779155.0,AL3432608815220140325,HURRICANE CREEK,34.324,-88.151,2014-03-25,593.0,Wildfire,5.6000000000000005,22.3,33.0,0.454797619047619,8.6,33.0,0.438,27.0,323.0,65.2,0.0,152.1,25.6,26.9,65.2,32.0,0.3799,8.0,179.0,2.0,243.0,-0.8910065241883678,-0.4539904997395469
4779163.0,LA3105009256020140327,HIGH NOON,31.054,-92.563,2014-03-27,1122.0,Wildfire,11.2,24.3,33.0,0.4424583333333333,18.9,78.0,0.422,24.9,162.0,60.8,7.699999999999999,117.5,29.0,31.8,65.2,34.0,0.6279,2.0,71.0,1.0,139.0,0.6560590289905073,-0.754709580222772
4779183.0,OK3526009612020140327,SAND CREEK,35.246,-96.113,2014-03-27,2251.0,Wildfire,7.0,23.6,25.0,0.3449880952380952,19.3,71.0,0.354,34.2,202.0,72.0,1.1,76.0,28.7,41.0,94.7,24.0,0.38425000000000004,9.0,276.0,2.0,44.0,0.6946583704589973,0.7193398003386512
4779294.0,OK3698009637020140327,NORTH 400,36.973,-96.378,2014-03-27,7909.0,Wildfire,4.4,20.7,26.0,0.2374702380952381,24.0,25.0,0.255,37.1,240.0,82.1,0.1,33.8,29.2,39.6,74.5,12.0,0.33790000000000003,10.0,292.0,1.0,90.0,1.0,6.123233995736766e-17
4779306.0,OK3636009650020140327,BOSTON,36.372,-96.494,2014-03-27,2050.0,Wildfire,5.800000000000001,22.2,26.0,0.3135297619047619,23.7,29.0,0.33,34.1,228.0,76.0,0.0,34.4,29.9,37.4,81.4,14.0,0.39365,9.0,283.0,3.0,270.0,-1.0,-1.8369701987210297e-16
4779638.0,OK3627209628420140327,BRATT,36.262,-96.272,2014-03-27,1217.0,Wildfire,6.5,22.5,27.0,0.3201964285714285,23.1,38.0,0.344,34.2,220.0,78.1,0.0,36.7,29.8,37.9,80.6,21.0,0.41185,10.0,236.0,1.0,253.0,-0.9563047559630353,-0.2923717047227371
4779199.0,TX3610010008020140403,HIGGINS 2,36.172,-100.069,2014-04-03,8280.0,Wildfire,0.8,30.1,5.0,0.1574047619047619,16.4,34.0,0.141,17.6,298.0,36.4,0.1,12.9,33.5,47.7,83.9,6.0,0.22610000000000002,10.0,754.0,2.0,0.0,0.0,1.0
4779261.0,OK3617009682020140403,BATTLE RIDGE,36.153,-96.814,2014-04-03,1251.0,Wildfire,15.1,27.9,12.0,0.2785357142857143,23.0,39.0,0.351,16.8,279.0,40.7,0.8,25.7,30.2,37.5,82.1,16.0,0.32285,10.0,293.0,2.0,83.0,0.992546151641322,0.12186934340514749
4779296.0,OK3660009624020140403,YATES,36.605,-96.243,2014-04-03,2030.0,Wildfire,7.6,26.9,17.0,0.2754523809523809,23.9,46.0,0.32,20.9,267.0,46.1,2.5,26.0,30.5,37.9,79.6,14.0,0.45415,10.0,277.0,1.0,124.0,0.8290375725550417,-0.5591929034707467
4779302.0,OK3661009643020140403,SPIDER,36.572,-96.451,2014-04-03,14587.0,Wildfire,5.6,27.7,12.0,0.2593333333333333,23.0,39.0,0.26,19.8,272.0,44.6,1.6,27.1,30.6,38.5,77.4,15.0,0.31105,10.0,305.0,4.0,101.0,0.981627183447664,-0.1908089953765448
4779318.0,OK3598009917020140403,CAMARGO,35.982,-99.186,2014-04-03,7494.0,Wildfire,1.4,30.3,8.0,0.1793809523809523,18.2,32.0,0.154,14.8,296.0,35.6,0.0,19.2,33.2,44.5,80.3,8.0,0.30625,10.0,644.0,3.0,6.0,0.10452846326765347,0.9945218953682733
4779146.0,NC3458007765020140410,SHAKEN CREEK,34.597,-77.645,2014-04-10,1469.0,Wildfire,28.6,25.5,36.0,0.296375,20.7,43.0,0.313,10.6,190.0,28.1,0.0,119.3,30.1,33.5,85.3,34.0,0.49285,2.0,10.0,0.0,211.0,-0.5150380749100542,-0.8571673007021123
4779305.0,OK3637009642020140410,TOP HAT,36.355,-96.423,2014-04-10,2443.0,Wildfire,6.6,24.2,21.0,0.3113095238095238,28.1,25.0,0.267,17.8,225.0,42.5,0.0,32.6,34.7,37.4,81.4,13.0,0.47145000000000004,9.0,290.0,1.0,243.0,-0.8910065241883678,-0.4539904997395469
4779777.0,OK3688009628020140410,GOBBLER,36.894,-96.244,2014-04-10,7040.0,Wildfire,4.9,24.4,18.0,0.2180654761904761,28.0,23.0,0.172,4.3,275.0,27.0,0.0,59.2,35.9,39.3,77.0,12.0,0.38870000000000005,10.0,278.0,3.0,24.0,0.4067366430758002,0.9135454576426009
4779786.0,OK3636009629020140410,SHORT BUS,36.35,-96.316,2014-04-10,5566.0,Wildfire,7.4,24.1,21.0,0.3201130952380952,27.7,27.0,0.27,18.9,219.0,43.9,0.0,36.2,34.7,37.9,80.6,13.0,0.4879,10.0,270.0,1.0,270.0,-1.0,-1.8369701987210297e-16
4779665.0,OK3645309636520140411,BARBIE,36.449,-96.352,2014-04-11,1167.0,Wildfire,3.7,29.8,21.0,0.2999523809523809,24.8,47.0,0.252,12.4,126.0,31.0,0.0,39.7,34.8,37.9,79.6,13.0,0.38280000000000003,10.0,277.0,2.0,118.0,0.8829475928589269,-0.4694715627858909
4779287.0,KS3751009660020140412,KS BUX 000019,37.519,-96.605,2014-04-12,3894.0,Wildfire,1.3,26.3,19.0,0.1643630952380952,27.5,38.0,0.134,31.7,177.0,61.2,0.0,78.6,36.2,38.9,77.4,8.0,0.39755,10.0,479.0,1.0,84.0,0.9945218953682733,0.10452846326765346
4779252.0,FL2760808118620140414,UNNAMED,27.605,-81.184,2014-04-14,568.0,Wildfire,20.9,33.1,34.0,0.163220238095238,30.4,36.0,0.128,10.2,222.0,27.0,0.0,63.1,33.2,24.7,56.2,29.0,0.62115,9.0,20.0,0.0,180.0,1.2246467991473532e-16,-1.0
4779515.0,KS3841909654720140415,14 EAST TRAPS TWO SECTION,38.421,-96.526,2014-04-15,2082.0,Wildfire,18.3,29.9,18.0,0.1967678571428571,13.0,27.0,0.274,12.6,200.0,30.6,0.0,51.3,35.5,41.6,82.1,11.0,0.32395,10.0,415.0,1.0,215.0,-0.5735764363510462,-0.8191520442889918
4779784.0,OK3683209627720140416,RANCH,36.851,-96.277,2014-04-16,4227.0,Wildfire,9.6,28.7,20.0,0.2081666666666666,16.9,31.0,0.23,33.1,179.0,69.8,0.0,46.9,35.9,36.4,72.7,11.0,0.54845,9.0,311.0,3.0,235.0,-0.8191520442889916,-0.5735764363510464
4779148.0,VA3696008182020140417,STILLHOUSE HOLLOW,36.938,-81.725,2014-04-17,820.0,Wildfire,16.0,23.2,28.0,0.3720416666666666,11.9,32.0,0.375,8.9,130.0,28.4,0.0,92.9,25.7,23.5,83.2,29.0,0.47700000000000004,4.0,975.0,18.0,157.0,0.39073112848927377,-0.9205048534524404
4779303.0,OK3650009650020140417,RESERVE,36.508,-96.523,2014-04-17,19016.0,Wildfire,3.0,29.9,18.0,0.1763154761904762,14.1,47.0,0.158,12.0,33.0,28.4,0.6000000000000001,41.6,35.6,35.2,69.5,11.0,0.46180000000000004,10.0,310.0,1.0,195.0,-0.2588190451025208,-0.9659258262890683
4779308.0,OK3655009625020140417,WYNONA CUT,36.552,-96.266,2014-04-17,1824.0,Wildfire,5.9,29.8,20.0,0.2158571428571429,14.4,47.0,0.203,11.1,25.0,27.7,0.3,43.0,35.6,35.4,69.1,12.0,0.43675,10.0,264.0,1.0,98.0,0.9902680687415704,-0.13917310096006535
